Id,Label,Degree,Betweenness,Expression
1277,COL1A1,100,27297.73,0
7058,THBS2,83,20450.51,0
1303,COL12A1,31,8705.41,0
1278,COL1A2,30,7883.44,0
1462,VCAN,24,6154.86,0
7076,TIMP1,23,6424.65,0
633,BGN,12,2479.01,0
2335,FN1,10,2121.74,0
115908,CTHRC1,8,1855.64,0
MIMAT0019072,hsa-mir-4533,4,3668.07,0
MIMAT0000083,hsa-mir-26b-5p,4,3273.75,0
MIMAT0000422,hsa-mir-124-3p,3,3112.08,0
MIMAT0000275,hsa-mir-218-5p,3,2754.31,0
MIMAT0000100,hsa-mir-29b-3p,2,3237.23,0
MIMAT0000427,hsa-mir-133a-3p,2,3237.23,0
MIMAT0027528,hsa-mir-6814-5p,2,3237.23,0
MIMAT0000441,hsa-mir-9-5p,2,2756.94,0
MIMAT0003385,hsa-mir-363-5p,2,2005.42,0
MIMAT0027391,hsa-mir-6745,2,2005.42,0
MIMAT0004682,hsa-mir-361-3p,2,1999.77,0
MIMAT0004982,hsa-mir-939-5p,2,1433.56,0
MIMAT0027038,hsa-mir-1343-5p,2,1433.56,0
MIMAT0000242,hsa-mir-129-5p,2,1414.7,0
MIMAT0003165,hsa-mir-545-3p,2,799.82,0
MIMAT0000681,hsa-mir-29c-3p,2,696.94,0
MIMAT0019882,hsa-mir-4747-5p,2,696.94,0
MIMAT0021128,hsa-mir-5196-5p,2,696.94,0
MIMAT0000256,hsa-mir-181a-5p,2,598,0
MIMAT0027416,hsa-mir-6758-5p,2,584.19,0
MIMAT0027612,hsa-mir-6856-5p,2,584.19,0
10631,POSTN,2,300,0
MIMAT0015065,hsa-mir-3185,2,284.65,0
MIMAT0033692,hsa-mir-8485,2,272.14,0
MIMAT0000414,hsa-let-7g-5p,2,255.32,0
MIMAT0000416,hsa-mir-1-3p,2,193.58,0
MIMAT0000063,hsa-let-7b-5p,1,0,0
MIMAT0000067,hsa-let-7f-5p,1,0,0
MIMAT0000081,hsa-mir-25-3p,1,0,0
MIMAT0000086,hsa-mir-29a-3p,1,0,0
MIMAT0000095,hsa-mir-96-5p,1,0,0
MIMAT0000101,hsa-mir-103a-3p,1,0,0
MIMAT0000102,hsa-mir-105-5p,1,0,0
MIMAT0000104,hsa-mir-107,1,0,0
MIMAT0000318,hsa-mir-200b-3p,1,0,0
MIMAT0000418,hsa-mir-23b-3p,1,0,0
MIMAT0000419,hsa-mir-27b-3p,1,0,0
MIMAT0000420,hsa-mir-30b-5p,1,0,0
MIMAT0000435,hsa-mir-143-3p,1,0,0
MIMAT0000455,hsa-mir-185-5p,1,0,0
MIMAT0000617,hsa-mir-200c-3p,1,0,0
MIMAT0000687,hsa-mir-299-3p,1,0,0
MIMAT0000710,hsa-mir-365a-3p,1,0,0
MIMAT0000716,hsa-mir-302c-5p,1,0,0
MIMAT0000728,hsa-mir-375,1,0,0
MIMAT0000730,hsa-mir-377-3p,1,0,0
MIMAT0000758,hsa-mir-135b-5p,1,0,0
MIMAT0000759,hsa-mir-148b-3p,1,0,0
MIMAT0000765,hsa-mir-335-5p,1,0,0
MIMAT0002170,hsa-mir-412-3p,1,0,0
MIMAT0002847,hsa-mir-518c-5p,1,0,0
MIMAT0002849,hsa-mir-524-5p,1,0,0
MIMAT0002855,hsa-mir-520d-5p,1,0,0
MIMAT0002860,hsa-mir-516b-3p,1,0,0
MIMAT0002869,hsa-mir-519a-3p,1,0,0
MIMAT0002874,hsa-mir-503-5p,1,0,0
MIMAT0002879,hsa-mir-507,1,0,0
MIMAT0002882,hsa-mir-510-5p,1,0,0
MIMAT0003221,hsa-mir-557,1,0,0
MIMAT0003234,hsa-mir-569,1,0,0
MIMAT0003243,hsa-mir-578,1,0,0
MIMAT0003283,hsa-mir-615-3p,1,0,0
MIMAT0003294,hsa-mir-625-5p,1,0,0
MIMAT0003299,hsa-mir-630,1,0,0
MIMAT0003313,hsa-mir-643,1,0,0
MIMAT0003325,hsa-mir-662,1,0,0
MIMAT0003326,hsa-mir-663a,1,0,0
MIMAT0003945,hsa-mir-765,1,0,0
MIMAT0004490,hsa-mir-19a-5p,1,0,0
MIMAT0004514,hsa-mir-29b-1-5p,1,0,0
MIMAT0004548,hsa-mir-129-1-3p,1,0,0
MIMAT0004597,hsa-mir-140-3p,1,0,0
MIMAT0004605,hsa-mir-129-2-3p,1,0,0
MIMAT0004680,hsa-mir-130b-5p,1,0,0
MIMAT0004703,hsa-mir-335-3p,1,0,0
MIMAT0004767,hsa-mir-193b-5p,1,0,0
MIMAT0004784,hsa-mir-455-3p,1,0,0
MIMAT0004794,hsa-mir-551b-5p,1,0,0
MIMAT0004802,hsa-mir-593-3p,1,0,0
MIMAT0004909,hsa-mir-450b-5p,1,0,0
MIMAT0004945,hsa-mir-744-5p,1,0,0
MIMAT0004978,hsa-mir-935,1,0,0
MIMAT0004981,hsa-mir-938,1,0,0
MIMAT0004983,hsa-mir-940,1,0,0
MIMAT0005583,hsa-mir-1228-3p,1,0,0
MIMAT0005591,hsa-mir-1236-3p,1,0,0
MIMAT0005797,hsa-mir-1301-3p,1,0,0
MIMAT0005829,hsa-mir-1184,1,0,0
MIMAT0005883,hsa-mir-1293,1,0,0
MIMAT0005889,hsa-mir-548l,1,0,0
MIMAT0005904,hsa-mir-1253,1,0,0
MIMAT0005920,hsa-mir-1266-5p,1,0,0
MIMAT0005929,hsa-mir-1275,1,0,0
MIMAT0005934,hsa-mir-548p,1,0,0
MIMAT0005943,hsa-mir-1292-5p,1,0,0
MIMAT0005951,hsa-mir-1307-3p,1,0,0
MIMAT0006767,hsa-mir-1827,1,0,0
MIMAT0006778,hsa-mir-516a-3p,1,0,0
MIMAT0007348,hsa-mir-1470,1,0,0
MIMAT0007881,hsa-mir-1908-5p,1,0,0
MIMAT0009197,hsa-mir-205-3p,1,0,0
MIMAT0010313,hsa-mir-762,1,0,0
MIMAT0011778,hsa-mir-2278,1,0,0
MIMAT0014982,hsa-mir-3120-3p,1,0,0
MIMAT0014984,hsa-mir-3122,1,0,0
MIMAT0014988,hsa-mir-3125,1,0,0
MIMAT0015006,hsa-mir-3138,1,0,0
MIMAT0015045,hsa-mir-3170,1,0,0
MIMAT0015063,hsa-mir-3183,1,0,0
