#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD14A-ACY1	PBLD	9606.ENSP00000490744	9606.ENSP00000351619	0.044	0	0	0	0	0	0.508	0.047	0.512
ABHD14A-ACY1	OAT	9606.ENSP00000490744	9606.ENSP00000357838	0.106	0	0	0	0.083	0	0.510	0.251	0.658
ABHD14A-ACY1	ACY1	9606.ENSP00000490744	9606.ENSP00000384296	0	0	0.047	0.987	0.067	0.900	0	0	0.903
ACE	TIMP1	9606.ENSP00000290866	9606.ENSP00000218388	0	0	0	0	0	0	0	0.462	0.462
ACE	ENPEP	9606.ENSP00000290866	9606.ENSP00000265162	0	0	0	0	0.105	0	0	0.613	0.639
ACE	SLC5A1	9606.ENSP00000290866	9606.ENSP00000266088	0	0	0	0	0.077	0	0	0.398	0.421
ACE	CYP2C19	9606.ENSP00000290866	9606.ENSP00000360372	0	0	0	0	0	0	0	0.452	0.452
ACE	PLCG2	9606.ENSP00000290866	9606.ENSP00000482457	0	0	0	0	0	0	0	0.457	0.457
ACE	FN1	9606.ENSP00000290866	9606.ENSP00000346839	0	0	0	0	0	0	0	0.484	0.484
ACE	APBB2	9606.ENSP00000290866	9606.ENSP00000427211	0	0	0	0	0	0	0	0.486	0.485
ACE	XDH	9606.ENSP00000290866	9606.ENSP00000368727	0	0	0	0	0	0	0	0.724	0.724
ACE	ANPEP	9606.ENSP00000290866	9606.ENSP00000300060	0	0	0	0	0.134	0	0	0.796	0.816
ACSL5	CRYL1	9606.ENSP00000348429	9606.ENSP00000298248	0.061	0	0	0	0.085	0	0	0.438	0.475
ACY1	ASPA	9606.ENSP00000384296	9606.ENSP00000263080	0	0	0	0	0.045	0	0	0.981	0.981
ACY1	PBLD	9606.ENSP00000384296	9606.ENSP00000351619	0.044	0	0	0	0.054	0	0.508	0.182	0.587
ACY1	OAT	9606.ENSP00000384296	9606.ENSP00000357838	0.106	0	0	0	0.083	0	0.510	0.342	0.700
ACY1	CPS1	9606.ENSP00000384296	9606.ENSP00000402608	0.057	0	0	0	0.081	0.071	0.285	0.334	0.547
ADAMTS2	TIMP1	9606.ENSP00000251582	9606.ENSP00000218388	0	0	0	0	0.110	0	0	0.358	0.405
ADAMTS2	COL1A1	9606.ENSP00000251582	9606.ENSP00000225964	0	0	0	0	0.308	0.091	0.400	0.850	0.936
ADAMTS2	COL12A1	9606.ENSP00000251582	9606.ENSP00000325146	0	0	0	0	0.216	0.072	0	0.396	0.523
ADAMTS2	TNXB	9606.ENSP00000251582	9606.ENSP00000407685	0	0	0	0	0.075	0	0	0.507	0.524
ADAMTS2	FN1	9606.ENSP00000251582	9606.ENSP00000346839	0	0	0	0	0.097	0.045	0	0.563	0.590
ADAMTS2	BGN	9606.ENSP00000251582	9606.ENSP00000327336	0	0	0	0	0.226	0	0	0.588	0.667
ADAMTS2	COL1A2	9606.ENSP00000251582	9606.ENSP00000297268	0	0	0	0	0.290	0.125	0.400	0.873	0.946
AGRN	VCAN	9606.ENSP00000368678	9606.ENSP00000265077	0	0	0	0	0.042	0.045	0.500	0.626	0.806
AGRN	BGN	9606.ENSP00000368678	9606.ENSP00000327336	0	0	0	0	0.099	0.292	0.500	0.785	0.922
AGRN	FN1	9606.ENSP00000368678	9606.ENSP00000346839	0	0	0	0	0.086	0.292	0	0.977	0.983
AGRN	POSTN	9606.ENSP00000368678	9606.ENSP00000369071	0	0	0	0	0.059	0	0	0.571	0.579
ALDH1A1	CBR1	9606.ENSP00000297785	9606.ENSP00000290349	0.042	0	0	0	0.140	0.069	0.173	0.216	0.412
ALDH1A1	FN1	9606.ENSP00000297785	9606.ENSP00000346839	0	0	0	0	0.055	0	0	0.418	0.426
ALDH1A1	NUPR1	9606.ENSP00000297785	9606.ENSP00000379003	0	0	0	0	0.049	0.079	0	0.417	0.444
ALDH1A1	OAT	9606.ENSP00000297785	9606.ENSP00000357838	0.061	0.005	0	0	0.134	0	0.287	0.164	0.450
ALDH1A1	CRABP2	9606.ENSP00000297785	9606.ENSP00000482841	0	0	0	0	0.052	0	0	0.480	0.486
ALDH1A1	UGT1A3	9606.ENSP00000297785	9606.ENSP00000418532	0	0	0	0	0.101	0	0.650	0.063	0.679
ALDOB	PCK2	9606.ENSP00000497767	9606.ENSP00000216780	0	0	0	0	0.112	0	0	0.458	0.498
ALDOB	KHK	9606.ENSP00000497767	9606.ENSP00000260599	0	0	0	0	0.164	0	0.913	0.659	0.973
ALDOB	HK2	9606.ENSP00000497767	9606.ENSP00000290573	0	0	0	0	0.055	0	0.800	0.393	0.875
ALDOB	RBKS	9606.ENSP00000497767	9606.ENSP00000306817	0	0	0	0	0.089	0	0.176	0.281	0.414
ALDOB	PKLR	9606.ENSP00000497767	9606.ENSP00000339933	0.069	0	0	0	0.153	0	0.820	0.833	0.973
ALDOB	SLC2A5	9606.ENSP00000497767	9606.ENSP00000366641	0	0	0	0	0.060	0	0	0.508	0.518
ALDOB	CPS1	9606.ENSP00000497767	9606.ENSP00000402608	0	0	0	0	0.361	0	0	0.188	0.460
ALDOB	FBP1	9606.ENSP00000497767	9606.ENSP00000408025	0.046	0	0	0	0.234	0.071	0.938	0.648	0.982
ALDOB	SLC2A1	9606.ENSP00000497767	9606.ENSP00000416293	0	0	0	0	0.102	0	0	0.437	0.473
ANPEP	TIMP1	9606.ENSP00000300060	9606.ENSP00000218388	0	0	0	0	0.084	0	0	0.479	0.502
ANPEP	ENPEP	9606.ENSP00000300060	9606.ENSP00000265162	0	0	0.118	0.844	0.100	0.095	0	0.457	0.557
ANPEP	FN1	9606.ENSP00000300060	9606.ENSP00000346839	0	0	0	0	0.064	0	0	0.434	0.448
APOBEC1	DEFA5	9606.ENSP00000229304	9606.ENSP00000329890	0	0	0	0	0.393	0	0	0.077	0.415
APOC1	COL1A2	9606.ENSP00000465356	9606.ENSP00000297268	0	0	0	0	0.058	0	0	0.407	0.417
APOC1	SOAT2	9606.ENSP00000465356	9606.ENSP00000301466	0	0	0	0	0.073	0	0	0.416	0.436
APOC1	FN1	9606.ENSP00000465356	9606.ENSP00000346839	0	0	0	0	0.081	0	0	0.463	0.485
AQP7	GK	9606.ENSP00000297988	9606.ENSP00000401720	0.046	0.016	0	0	0.300	0.049	0.187	0.577	0.742
ASPA	VCAN	9606.ENSP00000263080	9606.ENSP00000265077	0	0	0	0	0	0.069	0	0.433	0.449
BGN	TIMP1	9606.ENSP00000327336	9606.ENSP00000218388	0	0	0	0	0.174	0.045	0	0.508	0.578
BGN	COL1A1	9606.ENSP00000327336	9606.ENSP00000225964	0	0	0	0	0.576	0.328	0	0.916	0.974
BGN	ISLR	9606.ENSP00000327336	9606.ENSP00000249842	0	0	0.135	0.573	0.320	0	0	0.099	0.424
BGN	SULF1	9606.ENSP00000327336	9606.ENSP00000260128	0	0	0	0	0.340	0	0	0.322	0.533
BGN	VCAN	9606.ENSP00000327336	9606.ENSP00000265077	0	0	0	0	0.082	0.099	0.400	0.912	0.951
BGN	COL1A2	9606.ENSP00000327336	9606.ENSP00000297268	0	0	0	0	0.516	0.091	0	0.871	0.938
BGN	COL12A1	9606.ENSP00000327336	9606.ENSP00000325146	0	0	0	0	0.223	0.091	0	0.660	0.739
BGN	LRRC20	9606.ENSP00000327336	9606.ENSP00000348043	0	0	0.437	0	0	0	0	0	0.437
BGN	LRRC15	9606.ENSP00000327336	9606.ENSP00000413707	0	0	0.182	0.620	0.147	0	0	0.426	0.564
BGN	CTHRC1	9606.ENSP00000327336	9606.ENSP00000330523	0	0	0	0	0.183	0	0	0.495	0.569
BGN	THBS2	9606.ENSP00000327336	9606.ENSP00000355751	0	0	0	0	0.362	0.099	0	0.508	0.693
BGN	POSTN	9606.ENSP00000327336	9606.ENSP00000369071	0	0	0	0	0.386	0.045	0	0.734	0.830
BGN	FN1	9606.ENSP00000327336	9606.ENSP00000346839	0	0	0	0	0.230	0	0	0.994	0.995
CBR1	DHRS11	9606.ENSP00000290349	9606.ENSP00000482704	0	0	0	0.595	0.090	0.046	0	0.514	0.542
CBR1	UGT1A3	9606.ENSP00000290349	9606.ENSP00000418532	0	0	0	0	0.070	0.067	0.900	0.148	0.916
CCL5	TIMP1	9606.ENSP00000474412	9606.ENSP00000218388	0	0	0	0	0.082	0	0	0.729	0.740
CCL5	VCAN	9606.ENSP00000474412	9606.ENSP00000265077	0	0	0	0	0.049	0.292	0	0.248	0.449
CCL5	CD276	9606.ENSP00000474412	9606.ENSP00000320084	0	0	0	0	0	0	0	0.513	0.513
CCL5	CXCL14	9606.ENSP00000474412	9606.ENSP00000337065	0	0	0	0	0.049	0.994	0	0.476	0.996
CCL5	FN1	9606.ENSP00000474412	9606.ENSP00000346839	0	0	0	0	0	0	0	0.696	0.696
CD276	LYVE1	9606.ENSP00000320084	9606.ENSP00000256178	0	0	0	0	0	0	0	0.427	0.426
CD276	PLAU	9606.ENSP00000320084	9606.ENSP00000361850	0	0	0	0	0.084	0.052	0	0.438	0.469
CD276	FN1	9606.ENSP00000320084	9606.ENSP00000346839	0	0	0	0	0.109	0	0	0.588	0.617
CDHR2	MYO1A	9606.ENSP00000424565	9606.ENSP00000393392	0	0	0	0	0.157	0.071	0	0.387	0.478
CES2	CYP2C19	9606.ENSP00000499140	9606.ENSP00000360372	0	0	0	0	0.068	0.086	0	0.382	0.428
CES2	UGT1A3	9606.ENSP00000499140	9606.ENSP00000418532	0	0	0	0	0.056	0	0.650	0.421	0.792
COL12A1	COL1A1	9606.ENSP00000325146	9606.ENSP00000225964	0	0	0	0.562	0.424	0	0.400	0.565	0.836
COL12A1	SULF1	9606.ENSP00000325146	9606.ENSP00000260128	0	0	0	0	0.336	0	0	0.265	0.491
COL12A1	LAMC2	9606.ENSP00000325146	9606.ENSP00000264144	0	0	0	0	0.098	0.067	0	0.405	0.456
COL12A1	VCAN	9606.ENSP00000325146	9606.ENSP00000265077	0	0	0	0	0.124	0.091	0	0.581	0.637
COL12A1	COL1A2	9606.ENSP00000325146	9606.ENSP00000297268	0	0	0	0.559	0.298	0	0.400	0.548	0.793
COL12A1	FN1	9606.ENSP00000325146	9606.ENSP00000346839	0	0	0	0.568	0.253	0.050	0	0.283	0.447
COL12A1	CTHRC1	9606.ENSP00000325146	9606.ENSP00000330523	0	0	0	0	0.212	0	0	0.368	0.480
COL12A1	POSTN	9606.ENSP00000325146	9606.ENSP00000369071	0	0	0	0	0.374	0.071	0	0.477	0.669
COL12A1	THBS2	9606.ENSP00000325146	9606.ENSP00000355751	0	0	0	0	0.295	0.099	0	0.613	0.733
COL1A1	TIMP1	9606.ENSP00000225964	9606.ENSP00000218388	0	0	0	0	0.175	0	0	0.817	0.842
COL1A1	PLAU	9606.ENSP00000225964	9606.ENSP00000361850	0	0	0	0	0.113	0.051	0	0.357	0.411
COL1A1	PLS3	9606.ENSP00000225964	9606.ENSP00000348163	0	0	0	0	0.108	0	0	0.398	0.440
COL1A1	LAMC2	9606.ENSP00000225964	9606.ENSP00000264144	0	0	0	0	0.084	0.067	0	0.400	0.442
COL1A1	FNDC1	9606.ENSP00000225964	9606.ENSP00000297267	0	0	0	0	0.333	0	0	0.202	0.444
COL1A1	TNXB	9606.ENSP00000225964	9606.ENSP00000407685	0	0	0	0	0.072	0	0	0.447	0.464
